n,tipoCurto,IA_Sim,IB_Sim,IC_Sim,IA_Calc,IB_Calc,IC_Calc
0.001,1,196.8781,129.7775,114.9416,139.2475,91.78848,81.28563
0.001,2,112.9311,0.01378008,112.9377,79.86621,0.009735796,79.87086
0.001,3,0.0209003,112.9429,112.9259,0.01476966,79.87456,79.86252
0.001,4,139.2752,139.2607,0.01691226,98.50344,98.49315,0.01195012
0.001,5,0.01128,0.01128,0.011279,0.0079672,0.0079672,0.007967
0.1,1,181.5502,125.2864,110.8316,128.4039,88.61026,78.3788
0.1,2,107.4248,0.01408865,107.4319,75.97145,0.00995384,75.97648
0.1,3,0.02041123,107.4365,107.4201,0.01442397,75.97976,75.96817
0.1,4,128.5386,128.5246,0.0169122,90.90795,90.89801,0.01195008
0.1,5,0.01128,0.01128,0.011279,0.0079672,0.0079672,0.007967
0.2,1,167.2577,120.4328,106.9631,118.2931,85.17584,75.64281
0.2,2,102.3805,0.01438271,102.3881,72.40361,0.01016164,72.40899
0.2,3,0.0199707,102.3922,102.3764,0.01411259,72.41189,72.40071
0.2,4,118.9567,118.9431,0.01691213,84.12963,84.12001,0.01195004
0.2,5,0.011279,0.011279,0.011279,0.0079672,0.0079672,0.007967
0.3,1,154.3048,115.5261,103.3514,109.1302,81.70421,73.08843
0.3,2,97.7873,0.0146594,97.7953,69.1548,0.0103571,69.1605
0.3,3,0.0195762,97.7989,97.7837,0.0138338,69.1631,69.1523
0.3,4,110.5008,110.4876,0.01691207,78.14811,78.1388,0.01194999
0.3,5,0.011279,0.011279,0.011279,0.0079671,0.0079671,0.007967
0.4,1,142.6869,110.7299,99.97211,100.912,78.31091,70.69845
0.4,2,93.5874,0.0149193,93.5958,66.1843,0.0105408,66.1903
0.4,3,0.0192214,93.599,93.5842,0.013583,66.1925,66.1821
0.4,4,103.0256,103.0128,0.01691201,72.86056,72.85153,0.01194995
0.4,5,0.011279,0.011279,0.011279,0.0079671,0.0079671,0.007967
0.5,1,132.321,106.1358,96.80383,93.57966,75.0608,68.4577
0.5,2,89.7324,0.0151634,89.7413,63.4578,0.0107133,63.464
0.5,3,0.018901,89.744,89.7297,0.0133565,63.466,63.4558
0.5,4,96.3974,96.3849,0.0169119,68.1722,68.1634,0.0119499
0.5,5,0.011279,0.011279,0.011279,0.007967,0.007967,0.0079669
0.6,1,123.0896,101.789,93.82765,87.04994,71.98585,66.35283
0.6,2,86.1818,0.0153927,86.191,60.9465,0.0108754,60.953
0.6,3,0.0186106,86.1933,86.1794,0.0131512,60.9547,60.9448
0.6,4,90.498,90.4859,0.0169119,63.9995,63.9909,0.0119499
0.6,5,0.011279,0.011279,0.011279,0.007967,0.007967,0.0079669
0.7,1,114.8662,97.70628,91.02683,81.23339,69.09778,64.37199
0.7,2,82.9008,0.0156082,82.9103,58.626,0.0110277,58.6327
0.7,3,0.0183463,82.9123,82.8988,0.0129645,58.6341,58.6245
0.7,4,85.226,85.2141,0.0169118,60.2706,60.2623,0.0119498
0.7,5,0.011279,0.011279,0.011279,0.0079669,0.0079669,0.0079669
0.8,1,107.5286,93.88725,88.3865,76.04352,66.39635,62.50465
0.8,2,79.8599,0.0158109,79.8697,56.4753,0.011171,56.4822
0.8,3,0.0181052,79.8714,79.8583,0.0127941,56.4834,56.4741
0.8,4,80.4948,80.4833,0.0169118,56.9244,56.9162,0.0119498
0.8,5,0.011279,0.011279,0.011279,0.0079669,0.0079669,0.0079669
0.9,1,100.965,90.32215,85.89339,71.40119,63.87463,60.74146
0.9,2,77.0339,0.0160017,77.0439,54.4766,0.0113058,54.4837
0.9,3,0.0178844,77.0453,77.0325,0.012638,54.4847,54.4756
0.9,4,76.2315,76.2201,0.0169117,53.909,53.901,0.0119497
0.9,5,0.011279,0.011279,0.011279,0.0079668,0.0079668,0.0079669
0.999,1,95.132,87.0285,83.5586,67.2756,61.545,59.0902
0.999,2,74.426,0.0161798,74.4363,52.6322,0.0114317,52.6395
0.999,3,0.0176837,74.4375,74.4249,0.0124962,52.6403,52.6314
0.999,4,72.4109,72.3998,0.0169116,51.2069,51.199,0.0119497
0.999,5,0.011279,0.011279,0.011279,0.0079668,0.0079668,0.0079668
