n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,65.89694,197.0169,129.6453,115.1187,179.5238,136.4096,128.6708
0.001,2,1e-05,1000000,40,20,1000000,72.56694129,111.1249595,3.467157413,113.9613669,112.2898668,2.836531234,114.3660299
0.001,3,1000000,1e-05,40,1000000,20,72.56694129,4.425026322,115.1761451,112.3087204,2.579911211,114.3976277,112.5556407
0.001,4,20,20,1000000,20,20,1000000,140.5482755,138.4785689,3.911960313,140.053847,138.7366012,2.459095648
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897979036,3.926875221,3.912030224,2.513051873,2.838649835,2.512932193
0.1,1,1e-05,1e-05,40,13.33,13.33,65.89694,181.6935,125.1666,110.9888,164.4299,128.9443,119.7288
0.1,2,1e-05,1000000,40,20,1000000,72.56694129,105.6483249,3.512870287,108.4992357,104.1017287,2.836580692,106.2300728
0.1,3,1000000,1e-05,40,1000000,20,72.56694129,4.366472719,109.586132,106.708473,2.569546847,106.4740322,104.5874385
0.1,4,20,20,1000000,20,20,1000000,129.9099208,127.6568897,3.911945449,129.7839415,128.340069,2.466766056
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897956793,3.926852996,3.912020327,2.512982668,2.838611273,2.512932649
0.2,1,1e-05,1e-05,40,13.33,13.33,65.89694,167.4036,120.3419,107.0988,151.0567,121.6696,111.8398
0.2,2,1e-05,1000000,40,20,1000000,72.56694129,100.6294006,3.555137472,103.4937522,96.89130439,2.836631948,99.06421874
0.2,3,1000000,1e-05,40,1000000,20,72.56694129,4.313546249,104.4633898,101.5762782,2.561264915,99.45621604,97.53157234
0.2,4,20,20,1000000,20,20,1000000,120.4026866,117.9965302,3.911930456,120.5249142,118.974851,2.47272926
0.2,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897934294,3.926830537,3.912010321,2.512925117,2.838577789,2.512930177
0.3,1,1e-05,1e-05,40,13.33,13.33,65.89694,154.4452,115.4699,103.4645,139.3503,114.8125,104.8979
0.3,2,1e-05,1000000,40,20,1000000,72.56694129,96.05761405,3.593940269,98.93435748,90.56355021,2.836683733,92.77461783
0.3,3,1000000,1e-05,40,1000000,20,72.56694129,4.265963483,99.7971124,96.90132221,2.554748065,93.26850523,91.31133543
0.3,4,20,20,1000000,20,20,1000000,112.0019179,109.4680845,3.911915417,112.2866855,110.6477963,2.477203172
0.3,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897911763,3.926808069,3.912000305,2.512879623,2.838549278,2.512924363
0.4,1,1e-05,1e-05,40,13.33,13.33,65.89694,142.8121,110.7082,100.062,129.0894,108.4361,98.74467
0.4,2,1e-05,1000000,40,20,1000000,72.56694129,91.87589296,3.629677192,94.76411735,84.97215631,2.836735047,87.21627966
0.4,3,1000000,1e-05,40,1000000,20,72.56694129,4.222985292,95.52904233,92.62524099,2.549659561,87.77987087,85.79455642
0.4,4,20,20,1000000,20,20,1000000,104.5667721,101.9254517,3.911900381,104.9552503,103.2413738,2.480460808
0.4,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897889201,3.926785591,3.91199028,2.512845882,2.838525272,2.512914863
0.5,1,1e-05,1e-05,40,13.33,13.33,65.89694,132.4221,106.1454,96.87003,120.0686,102.5522,93.25503
0.5,2,1e-05,1000000,40,20,1000000,72.56694129,88.0364608,3.662688397,90.93537066,79.99992508,2.836786108,82.27300706
0.5,3,1000000,1e-05,40,1000000,20,72.56694129,4.18400385,91.61040959,88.69917714,2.545738368,82.88364548,80.87369866
0.5,4,20,20,1000000,20,20,1000000,97.96695913,95.23428824,3.911885339,98.41857431,96.64079786,2.482731985
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897866603,3.926763102,3.911980246,2.512823626,2.838505382,2.51290139
0.6,1,1e-05,1e-05,40,13.33,13.33,65.89694,123.1596,101.8256,93.86998,112.107,97.14472,88.32872
0.6,2,1e-05,1000000,40,20,1000000,72.56694129,84.4990247,3.693267941,87.40791891,75.55229041,2.836836955,77.85100242
0.6,3,1000000,1e-05,40,1000000,20,72.56694129,4.148505046,88.00007852,85.08192635,2.542780105,78.49262312,76.46088692
0.6,4,20,20,1000000,20,20,1000000,92.08730268,89.27628732,3.911870276,92.57389338,90.7411614,2.48420451
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897843978,3.926740606,3.911970202,2.512812639,2.838489288,2.512883705
0.7,1,1e-05,1e-05,40,13.33,13.33,65.89694,114.9002,97.7651,91.04527,105.0491,92.18367,83.88456
0.7,2,1e-05,1000000,40,20,1000000,72.56694129,81.22936389,3.721671732,84.14762367,71.55236232,2.836887747,73.87397409
0.7,3,1000000,1e-05,40,1000000,20,72.56694129,4.116055605,84.66311627,81.73849818,2.540623445,74.53512794,72.48392353
0.7,4,20,20,1000000,20,20,1000000,86.82837597,83.94959246,3.911855189,87.33025349,85.44983701,2.485029682
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897821318,3.9267181,3.911960148,2.512812756,2.838476739,2.512861622
0.8,1,1e-05,1e-05,40,13.33,13.33,65.89694,107.5231,93.96384,88.38115,98.76356,87.6332,79.85607
0.8,2,1e-05,1000000,40,20,1000000,72.56694129,78.19823354,3.748119483,81.12530959,67.93714025,2.836938833,70.27939317
0.8,3,1000000,1e-05,40,1000000,20,72.56694129,4.086298646,81.56966905,78.63898117,2.539140275,70.95190365,68.8831404
0.8,4,20,20,1000000,20,20,1000000,82.10540107,79.16752656,3.911840091,82.60870607,80.68656278,2.485328691
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,3.897798625,3.926695583,3.911950086,2.512823854,2.838467557,2.512835009
0.9,1,1e-05,1e-05,40,13.33,13.33,65.89694,100.9181,90.41251,85.86448,93.14001,83.45623,76.18832
0.9,2,1e-05,1000000,40,20,1000000,72.56694129,75.38048875,3.772805661,78.31589132,64.65461327,2.836990525,67.01562457
0.9,3,1000000,1e-05,40,1000000,20,72.56694129,4.058920283,78.69406658,75.75766632,2.538227805,67.69365679,65.60891566
0.9,4,20,20,1000000,20,20,1000000,77.84650891,74.8567242,3.911825002,78.34142401,76.38247408,2.485198578
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,3.8977759,3.926673058,3.911940013,2.512845864,2.838461634,2.512803789
0.999,1,1e-05,1e-05,40,13.33,13.33,65.8969,95.0432,87.129,83.5066,88.1339,79.6537,72.8677
