n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.001,1,1e-05,1e-05,40,13.33,13.33,65.89694,196.8781,129.7775,114.9416,179.5238,136.4096,128.6708
0.001,2,1e-05,1000000,40,20,1000000,72.56694129,112.9311452,0.01378007885,112.9377289,112.2898668,2.836531234,114.3660299
0.001,3,1000000,1e-05,40,1000000,20,72.56694129,0.02090029987,112.94295,112.9259145,2.579911211,114.3976277,112.5556407
0.001,4,20,20,1000000,20,20,1000000,139.275249,139.2606825,0.01691225832,140.053847,138.7366012,2.459095648
0.001,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127961428,0.01127961401,0.01127931772,2.513051873,2.838649835,2.512932193
0.1,1,1e-05,1e-05,40,13.33,13.33,65.89694,181.5502,125.2864,110.8316,164.4299,128.9443,119.7288
0.1,2,1e-05,1000000,40,20,1000000,72.56694129,107.424756,0.01408864884,107.4318735,104.1017287,2.836580692,106.2300728
0.1,3,1000000,1e-05,40,1000000,20,72.56694129,0.02041122667,107.4365095,107.4201158,2.569546847,106.4740322,104.5874385
0.1,4,20,20,1000000,20,20,1000000,128.5386169,128.5245505,0.0169121968,129.7839415,128.340069,2.466766056
0.1,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127955195,0.01127955178,0.01127929041,2.512982668,2.838611273,2.512932649
0.2,1,1e-05,1e-05,40,13.33,13.33,65.89694,167.2577,120.4328,106.9631,151.0567,121.6696,111.8398
0.2,2,1e-05,1000000,40,20,1000000,72.56694129,102.3804994,0.01438271187,102.3881057,96.89130439,2.836631948,99.06421874
0.2,3,1000000,1e-05,40,1000000,20,72.56694129,0.01997069615,102.3922051,102.3763993,2.561264915,99.45621604,97.53157234
0.2,4,20,20,1000000,20,20,1000000,118.9566541,118.9430541,0.0169121348,120.5249142,118.974851,2.47272926
0.2,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127948899,0.01127948891,0.01127926283,2.512925117,2.838577789,2.512930177
0.3,1,1e-05,1e-05,40,13.33,13.33,65.89694,154.3048,115.5261,103.3514,139.3503,114.8125,104.8979
0.3,2,1e-05,1000000,40,20,1000000,72.56694129,97.78728502,0.0146593555,97.7953361,90.56355021,2.836683733,92.77461783
0.3,3,1000000,1e-05,40,1000000,20,72.56694129,0.01957621646,97.79894652,97.78367608,2.554748065,93.26850523,91.31133543
0.3,4,20,20,1000000,20,20,1000000,110.5007503,110.4875762,0.01691207285,112.2866855,110.6477963,2.477203172
0.3,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127942603,0.01127942605,0.01127923524,2.512879623,2.838549278,2.512924363
0.4,1,1e-05,1e-05,40,13.33,13.33,65.89694,142.6869,110.7299,99.97211,129.0894,108.4361,98.74467
0.4,2,1e-05,1000000,40,20,1000000,72.56694129,93.58737224,0.01491927943,93.59582978,84.97215631,2.836735047,87.21627966
0.4,3,1000000,1e-05,40,1000000,20,72.56694129,0.01922141689,93.59899276,93.58421195,2.549659561,87.77987087,85.79455642
0.4,4,20,20,1000000,20,20,1000000,103.0256224,103.0128353,0.01691201084,104.9552503,103.2413738,2.480460808
0.4,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127936307,0.0112793632,0.01127920765,2.512845882,2.838525272,2.512914863
0.5,1,1e-05,1e-05,40,13.33,13.33,65.89694,132.321,106.1358,96.80383,120.0686,102.5522,93.25503
0.5,2,1e-05,1000000,40,20,1000000,72.56694129,89.73244674,0.01516339211,89.74127717,79.99992508,2.836786108,82.27300706
0.5,3,1000000,1e-05,40,1000000,20,72.56694129,0.01890100573,89.74402976,89.72969839,2.545738368,82.88364548,80.87369866
0.5,4,20,20,1000000,20,20,1000000,96.39737673,96.38494055,0.01691194875,98.41857431,96.64079786,2.482731985
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127930011,0.01127930034,0.01127918007,2.512823626,2.838505382,2.51290139
0.6,1,1e-05,1e-05,40,13.33,13.33,65.89694,123.0896,101.789,93.82765,112.107,97.14472,88.32872
0.6,2,1e-05,1000000,40,20,1000000,72.56694129,86.1817779,0.01539269116,86.19095162,75.55229041,2.836836955,77.85100242
0.6,3,1000000,1e-05,40,1000000,20,72.56694129,0.01861055647,86.19332742,86.17941007,2.542780105,78.49262312,76.46088692
0.6,4,20,20,1000000,20,20,1000000,90.4980225,90.48590451,0.01691188689,92.57389338,90.7411614,2.48420451
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127923715,0.01127923748,0.01127915248,2.512812639,2.838489288,2.512883705
0.7,1,1e-05,1e-05,40,13.33,13.33,65.89694,114.8662,97.70628,91.02683,105.0491,92.18367,83.88456
0.7,2,1e-05,1000000,40,20,1000000,72.56694129,82.90079003,0.01560819204,82.91028083,71.55236232,2.836887747,73.87397409
0.7,3,1000000,1e-05,40,1000000,20,72.56694129,0.01834634145,82.91230722,82.89877248,2.540623445,74.53512794,72.48392353
0.7,4,20,20,1000000,20,20,1000000,85.22597655,85.21414744,0.01691182486,87.33025349,85.44983701,2.485029682
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127917419,0.01127917462,0.0112791249,2.512812756,2.838476739,2.512861622
0.8,1,1e-05,1e-05,40,13.33,13.33,65.89694,107.5286,93.88725,88.3865,98.76356,87.6332,79.85607
0.8,2,1e-05,1000000,40,20,1000000,72.56694129,79.85994369,0.01581088659,79.86972824,67.93714025,2.836938833,70.27939317
0.8,3,1000000,1e-05,40,1000000,20,72.56694129,0.01810520247,79.87143133,79.85825122,2.539140275,70.95190365,68.8831404
0.8,4,20,20,1000000,20,20,1000000,80.49482244,80.4832561,0.0169117628,82.60870607,80.68656278,2.485328691
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127911124,0.01127911177,0.01127909731,2.512823854,2.838467557,2.512835009
0.9,1,1e-05,1e-05,40,13.33,13.33,65.89694,100.965,90.32215,85.89339,93.14001,83.45623,76.18832
0.9,2,1e-05,1000000,40,20,1000000,72.56694129,77.0338546,0.01600172011,77.04391206,64.65461327,2.836990525,67.01562457
0.9,3,1000000,1e-05,40,1000000,20,72.56694129,0.01788444868,77.04531451,77.03246403,2.538227805,67.69365679,65.60891566
0.9,4,20,20,1000000,20,20,1000000,76.23145478,76.22012803,0.01691170079,78.34142401,76.38247408,2.485198578
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127904828,0.01127904891,0.01127906973,2.512845864,2.838461634,2.512803789
0.999,1,1e-05,1e-05,40,13.33,13.33,65.8969,95.132,87.0285,83.5586,88.1339,79.6537,72.8677
0.999,2,1e-05,1000000,40,20,1000000,72.56694129,74.42603005,0.01617983256,74.43633924,61.69015674,2.837042792,64.06818158
0.999,3,1000000,1e-05,40,1000000,20,72.56694129,0.01768371896,74.43746486,74.42491857,2.537805263,64.74759654,62.6483345
0.999,4,20,20,1000000,20,20,1000000,72.41086827,72.39975843,0.01691163946,74.5073472,72.51599451,2.484723541
0.999,5,1000000,1000000,1000000,1000000,1000000,1000000,0.01127898595,0.01127898669,0.01127904242,2.512878373,2.838458947,2.512768313
