n,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
1,1,1e-05,1e-05,40,1000000,1000000,1000000,1.972924663,1.560712069,1.614345212
2,2,1e-05,1000000,40,1000000,1000000,1000000,1.451039942,0.0002379284746,1.45124191
3,3,1000000,1e-05,40,1000000,1000000,1000000,0.0004663279103,1.451346324,1.450929778
4,4,20,20,1000000,1000000,1000000,1000000,1.479610336,1.479186977,0.0004658501165
5,5,1000000,1000000,1000000,1000000,1000000,1000000,0.0003730688554,0.000179250412,0.0003730706885
6,6,1000000,1000000,1000000,1e-05,1e-05,40,1.44797307,0.0001753947577,1.448127062
7,7,1000000,1000000,1000000,1e-05,1000000,40,1.446399145,0.0001754007731,1.446553068
8,8,1000000,1000000,1000000,1000000,1e-05,40,1.446399148,0.0001754007733,1.446553071
9,9,1000000,1000000,1000000,20,20,1000000,0.0004740966471,0.0001792504119,0.0004740951831
10,10,1000000,1000000,1000000,1000000,1000000,1000000,0.0003730688554,0.000179250412,0.0003730706885
