n,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,RcF2,IA_Sistema,IB_Sistema,IC_Sistema
1,1,1e-05,1e-05,40,Inf,Inf,Inf,40.2547,9.5175,30.7372
2,2,1e-05,Inf,40,Inf,Inf,Inf,31.4679,3.70241,35.1703
3,3,Inf,1e-05,40,Inf,Inf,Inf,0.641101,11.8317,12.4728
4,4,1e-05,1e-05,Inf,Inf,Inf,Inf,27.0851,22.6871,4.398
5,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64472,3.7533,4.398
6,6,Inf,Inf,Inf,1e-05,1e-05,40,40.1325,9.42883,30.7037
7,7,Inf,Inf,Inf,1e-05,Inf,40,31.4189,3.70372,35.1226
8,8,Inf,Inf,Inf,Inf,1e-05,40,0.641353,11.8413,12.4826
9,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.9797,22.5817,4.398
10,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64472,3.7533,4.398
