n,m2,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A1_Consumidor,Tempo_A1_Consumidor,Tempo_Abertura_A1_Consumidor,I_B1_Consumidor,Tempo_B1_Consumidor,Tempo_Abertura_B1_Consumidor,I_A2_Consumidor,Tempo_A2_Consumidor,Tempo_Abertura_A2_Consumidor,I_B2_Consumidor,Tempo_B2_Consumidor,Tempo_Abertura_B2_Consumidor,IA_Sistema,IB_Sistema,IC_Sistema
1,0.001,1,23.0883,2.14108,2.229,22.7485,Inf,Inf,23.3209,2.08638,2.174,23.355,Inf,Inf,22.7835,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81621e-06,0.0119525,0.0119554
2,0.001,2,9.4137,Inf,Inf,13.7066,Inf,Inf,23.0375,2.1533,2.241,18.7156,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.08176,2.16949,1.08773
3,0.001,3,13.7624,Inf,Inf,23.039,2.15294,2.24,9.36051,Inf,Inf,0,Inf,Inf,21.2351,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.386333,0.187196,0.199137
4,0.001,4,23.0883,2.14108,2.229,9.40201,Inf,Inf,13.7608,Inf,Inf,21.2639,Inf,Inf,18.7401,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.26671,1.27269,2.5394
5,0.001,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.38034,2.1624,2.5427
6,0.001,6,23.0883,2.14109,2.229,22.7485,Inf,Inf,23.3208,2.08639,2.174,23.3549,Inf,Inf,22.7835,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81607e-06,0.0119525,0.0119554
7,0.001,7,9.41367,Inf,Inf,13.7065,Inf,Inf,23.0375,2.15332,2.241,18.7155,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.08176,2.16949,1.08773
8,0.001,8,13.7624,Inf,Inf,23.039,2.15295,2.24,9.36049,Inf,Inf,0,Inf,Inf,21.235,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.386333,0.187196,0.199137
9,0.001,9,23.0883,2.14109,2.229,9.40199,Inf,Inf,13.7608,Inf,Inf,21.2639,Inf,Inf,18.7401,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.26671,1.27269,2.5394
10,0.001,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.38034,2.1624,2.5427
11,0.1,1,23.0883,2.14108,2.229,22.7485,Inf,Inf,23.3209,2.08638,2.174,23.355,Inf,Inf,22.7835,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81621e-06,0.0119525,0.0119554
12,0.1,2,9.4137,Inf,Inf,13.7066,Inf,Inf,23.0375,2.1533,2.241,18.7156,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.08176,2.16949,1.08773
13,0.1,3,13.7624,Inf,Inf,23.039,2.15294,2.24,9.36051,Inf,Inf,0,Inf,Inf,21.2351,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.386333,0.187196,0.199137
14,0.1,4,23.0883,2.14108,2.229,9.40201,Inf,Inf,13.7608,Inf,Inf,21.2639,Inf,Inf,18.7401,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.26671,1.27269,2.5394
15,0.1,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.380338,2.16241,2.54275
16,0.1,6,23.084,2.14211,2.23,22.7468,Inf,Inf,23.3155,2.08761,2.175,23.3492,Inf,Inf,22.7813,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81499e-06,0.0119525,0.0119554
17,0.1,7,9.41195,Inf,Inf,13.7047,Inf,Inf,23.0339,2.15417,2.242,18.7125,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.08176,2.16949,1.08773
18,0.1,8,13.7605,Inf,Inf,23.0355,2.15379,2.241,9.35894,Inf,Inf,0,Inf,Inf,21.2319,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.386333,0.187189,0.199144
19,0.1,9,23.084,2.14211,2.23,9.40014,Inf,Inf,13.7585,Inf,Inf,21.2601,Inf,Inf,18.7365,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.26671,1.27269,2.5394
20,0.1,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.380338,2.16241,2.54275
21,0.2,1,23.0883,2.14108,2.229,22.7485,Inf,Inf,23.3209,2.08638,2.174,23.355,Inf,Inf,22.7835,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81621e-06,0.0119525,0.0119554
22,0.2,2,9.4137,Inf,Inf,13.7066,Inf,Inf,23.0375,2.1533,2.241,18.7156,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.08176,2.16949,1.08773
23,0.2,3,13.7624,Inf,Inf,23.039,2.15294,2.24,9.36051,Inf,Inf,0,Inf,Inf,21.2351,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.386333,0.187196,0.199137
24,0.2,4,23.0883,2.14108,2.229,9.40201,Inf,Inf,13.7608,Inf,Inf,21.2639,Inf,Inf,18.7401,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,1.26671,1.27269,2.5394
25,0.2,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0.380338,2.16241,2.54275
26,0.2,6,23.0797,2.14314,2.231,22.7451,Inf,Inf,23.3102,2.08884,2.176,23.3434,Inf,Inf,22.7791,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,2.81415e-06,0.0119526,0.0119554
