n,m2,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,Rcf2,IA_T2F,IB_T2F,IC_T2F
1,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
2,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
3,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
4,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
5,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.9699,7.9388
6,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.5182,4.85631,41.7244
7,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.5181,4.85631,41.7244
8,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.5181,4.85631,41.7244
9,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.9699,7.9388
10,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.9699,7.9388
11,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
12,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
13,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
14,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
15,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
16,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.5099,4.85634,41.716
17,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.5062,4.85635,41.712
18,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.5062,4.85635,41.712
19,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
20,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
21,0.999,1,1e-05,1e-05,1e-05,Inf,Inf,Inf,47.2156,44.9313,45.4928
22,0.999,2,1e-05,Inf,1e-05,Inf,Inf,Inf,37.5182,4.85631,41.7245
23,0.999,3,Inf,1e-05,1e-05,Inf,Inf,Inf,7.90818,42.9451,36.2352
24,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,43.4383,36.8191,7.64112
25,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
26,0.999,6,Inf,Inf,Inf,1e-05,1e-05,1e-05,37.5016,4.85637,41.7074
27,0.999,7,Inf,Inf,Inf,1e-05,Inf,1e-05,37.4942,4.8564,41.6995
28,0.999,8,Inf,Inf,Inf,Inf,1e-05,1e-05,37.4942,4.8564,41.6995
29,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,7.6553,4.96992,7.93876
30,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,7.6553,4.96992,7.93876
