n,m2,tipoCurto,Raf1,Rbf1,Rcf1,Raf2,Rbf2,RcF2,IA_Sistema,IB_Sistema,IC_Sistema
1,0.001,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
2,0.001,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
3,0.001,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
4,0.001,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
5,0.001,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.7499,4.3984
6,0.001,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9664,9.47868,30.4877
7,0.001,7,Inf,Inf,Inf,1e-05,Inf,40,31.23,3.69948,34.9294
8,0.001,8,Inf,Inf,Inf,Inf,1e-05,40,0.645158,11.6963,12.3414
9,0.001,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.9218,22.5233,4.39842
10,0.001,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.7499,4.3984
11,0.1,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
12,0.1,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
13,0.1,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
14,0.1,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
15,0.1,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
16,0.1,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9545,9.47001,30.4845
17,0.1,7,Inf,Inf,Inf,1e-05,Inf,40,31.2252,3.6996,34.9248
18,0.1,8,Inf,Inf,Inf,Inf,1e-05,40,0.645183,11.6972,12.3424
19,0.1,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.9115,22.513,4.39842
20,0.1,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
21,0.2,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
22,0.2,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
23,0.2,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
24,0.2,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
25,0.2,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
26,0.2,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9424,9.46126,30.4812
27,0.2,7,Inf,Inf,Inf,1e-05,Inf,40,31.2204,3.69973,34.9201
28,0.2,8,Inf,Inf,Inf,Inf,1e-05,40,0.645207,11.6982,12.3434
29,0.2,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.9011,22.5026,4.39842
30,0.2,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
31,0.3,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
32,0.3,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
33,0.3,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
34,0.3,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
35,0.3,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
36,0.3,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9304,9.45251,30.4779
37,0.3,7,Inf,Inf,Inf,1e-05,Inf,40,31.2155,3.69986,34.9154
38,0.3,8,Inf,Inf,Inf,Inf,1e-05,40,0.645232,11.6992,12.3444
39,0.3,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8907,22.4923,4.39842
40,0.3,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
41,0.4,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
42,0.4,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
43,0.4,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
44,0.4,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
45,0.4,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
46,0.4,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9184,9.44377,30.4746
47,0.4,7,Inf,Inf,Inf,1e-05,Inf,40,31.2107,3.7,34.9107
48,0.4,8,Inf,Inf,Inf,Inf,1e-05,40,0.645257,11.7001,12.3454
49,0.4,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8803,22.4819,4.39842
50,0.4,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
51,0.5,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
52,0.5,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
53,0.5,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
54,0.5,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
55,0.5,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
56,0.5,6,Inf,Inf,Inf,1e-05,1e-05,40,39.9063,9.43502,30.4713
57,0.5,7,Inf,Inf,Inf,1e-05,Inf,40,31.2059,3.70013,34.906
58,0.5,8,Inf,Inf,Inf,Inf,1e-05,40,0.645281,11.7011,12.3464
59,0.5,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8699,22.4715,4.39842
60,0.5,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
61,0.6,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
62,0.6,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
63,0.6,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
64,0.6,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
65,0.6,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
66,0.6,6,Inf,Inf,Inf,1e-05,1e-05,40,39.8943,9.42628,30.468
67,0.6,7,Inf,Inf,Inf,1e-05,Inf,40,31.2011,3.70026,34.9013
68,0.6,8,Inf,Inf,Inf,Inf,1e-05,40,0.645306,11.7021,12.3474
69,0.6,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8595,22.4611,4.39842
70,0.6,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
71,0.7,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
72,0.7,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
73,0.7,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
74,0.7,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
75,0.7,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
76,0.7,6,Inf,Inf,Inf,1e-05,1e-05,40,39.8823,9.41755,30.4647
77,0.7,7,Inf,Inf,Inf,1e-05,Inf,40,31.1963,3.70039,34.8966
78,0.7,8,Inf,Inf,Inf,Inf,1e-05,40,0.645331,11.703,12.3483
79,0.7,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8491,22.4507,4.39842
80,0.7,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
81,0.8,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
82,0.8,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
83,0.8,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
84,0.8,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
85,0.8,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
86,0.8,6,Inf,Inf,Inf,1e-05,1e-05,40,39.8703,9.40881,30.4615
87,0.8,7,Inf,Inf,Inf,1e-05,Inf,40,31.1914,3.70052,34.892
88,0.8,8,Inf,Inf,Inf,Inf,1e-05,40,0.645355,11.704,12.3493
89,0.8,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8388,22.4403,4.39842
90,0.8,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
91,0.9,1,1e-05,1e-05,40,Inf,Inf,Inf,39.9665,9.47877,30.4878
92,0.9,2,1e-05,Inf,40,Inf,Inf,Inf,31.23,3.69947,34.9295
93,0.9,3,Inf,1e-05,40,Inf,Inf,Inf,0.645158,11.6963,12.3414
94,0.9,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.9219,22.5234,4.39842
95,0.9,5,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
96,0.9,6,Inf,Inf,Inf,1e-05,1e-05,40,39.8583,9.40009,30.4582
97,0.9,7,Inf,Inf,Inf,1e-05,Inf,40,31.1866,3.70065,34.8873
98,0.9,8,Inf,Inf,Inf,Inf,1e-05,40,0.64538,11.7049,12.3503
99,0.9,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.8284,22.43,4.39842
100,0.9,10,Inf,Inf,Inf,Inf,Inf,Inf,0.64854,3.74988,4.39842
101,0.999,1,1e-05,1e-05,40,Inf,Inf,Inf,39.96654,9.478771,30.48777
102,0.999,2,1e-05,Inf,40,Inf,Inf,Inf,31.23002,3.699474,34.92949
103,0.999,3,Inf,1e-05,40,Inf,Inf,Inf,0.6451582,11.69627,12.34142
104,0.999,4,1e-05,1e-05,Inf,Inf,Inf,Inf,26.92186,22.52345,4.398416
105,0.999,5,Inf,Inf,Inf,Inf,Inf,Inf,0.6485403,3.749876,4.398416
106,0.999,6,Inf,Inf,Inf,1e-05,1e-05,40,39.84637,9.391447,30.45492
107,0.999,7,Inf,Inf,Inf,1e-05,Inf,40,31.18186,3.700774,34.88263
108,0.999,8,Inf,Inf,Inf,Inf,1e-05,40,0.6454043,11.70588,12.35128
109,0.999,9,Inf,Inf,Inf,1e-05,1e-05,Inf,26.81812,22.4197,4.398416
110,0.999,10,Inf,Inf,Inf,Inf,Inf,Inf,0.6485403,3.749876,4.398416
