index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,7.7253,8.6631,9.739,7.7203,Inf,Inf,7.7261,8.6606,9.739,7.727,8.6578,9.735,7.727,8.6579,9.732,7.727,8.6578,9.735,7.727,8.6579,9.732
2,1,2,7.7253,8.6631,9.739,7.7203,Inf,Inf,7.7261,8.6606,9.739,7.727,8.6578,9.735,7.727,8.6579,9.732,7.727,8.6578,9.735,7.727,8.6579,9.732
3,1,3,6.78094,Inf,Inf,4.22581,Inf,Inf,7.25187,Inf,Inf,7.72708,8.65769,9.735,5.00953,31.2045,32.281,7.72708,8.65769,9.735,5.00953,31.2045,32.281
4,1,4,5.9698,Inf,Inf,0,Inf,Inf,7.4419,Inf,Inf,7.7271,8.6576,9.735,2.6822,Inf,Inf,7.7271,8.6576,9.735,2.6822,Inf,Inf
5,1,5,4.23788,Inf,Inf,7.23826,10.3707,11.445,6.78082,12.4706,13.55,5.00751,Inf,Inf,5.62479,Inf,Inf,5.00751,Inf,Inf,5.62479,Inf,Inf
6,1,6,0,Inf,Inf,7.41936,9.68188,10.756,5.94085,Inf,Inf,0,Inf,Inf,5.16928,Inf,Inf,0,Inf,Inf,5.16928,Inf,Inf
7,1,7,7.2522,Inf,Inf,6.77942,Inf,Inf,4.23625,Inf,Inf,5.63163,21.6008,22.678,7.72698,8.65798,9.732,5.63163,21.6008,22.678,7.72698,8.65798,9.732
8,1,8,7.4401,Inf,Inf,5.9661,Inf,Inf,0,Inf,Inf,5.1889,Inf,Inf,7.727,8.658,9.733,5.1889,Inf,Inf,7.727,8.658,9.733
9,1,9,0,Inf,Inf,4.47257,Inf,Inf,6.31016,15.3575,16.437,4.74899,Inf,Inf,0,Inf,Inf,4.74899,Inf,Inf,0,Inf,Inf
10,1,10,6.31128,15.3495,16.426,2.03776,Inf,Inf,4.47442,Inf,Inf,6.21052,Inf,Inf,4.75794,Inf,Inf,6.21052,Inf,Inf,4.75794,Inf,Inf
