index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor
1,1,1,14.7725,Inf,Inf,14.9146,1.65942,2.733,14.6918,Inf,Inf,14.7258,Inf,Inf,14.8716,1.67072,2.744,0,Inf,Inf,0,Inf,Inf
2,1,2,6.19442,Inf,Inf,8.72445,Inf,Inf,14.7647,1.69933,2.774,12.1131,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
3,1,3,8.70597,Inf,Inf,14.842,1.67857,2.752,6.20734,Inf,Inf,0,Inf,Inf,13.5859,Inf,Inf,0,Inf,Inf,0,Inf,Inf
4,1,4,14.7725,1.69721,2.772,6.19324,Inf,Inf,8.6898,Inf,Inf,13.5417,Inf,Inf,12.0803,Inf,Inf,0,Inf,Inf,0,Inf,Inf
5,1,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
6,2,1,23.113,0.608183,1.683,23.445,0.589012,1.662,22.9919,Inf,Inf,22.9593,Inf,Inf,23.3493,0.594446,1.668,0,Inf,Inf,0,Inf,Inf
7,2,2,10.3823,Inf,Inf,12.8822,Inf,Inf,23.169,0.604885,1.678,19.3179,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
8,2,3,12.9233,Inf,Inf,23.269,0.599064,1.672,10.4083,Inf,Inf,0,Inf,Inf,20.8882,Inf,Inf,0,Inf,Inf,0,Inf,Inf
9,2,4,23.113,0.608183,1.683,10.3345,Inf,Inf,12.8572,Inf,Inf,20.7474,Inf,Inf,19.2972,Inf,Inf,0,Inf,Inf,0,Inf,Inf
10,2,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
11,3,1,26.8306,0.435684,1.509,27.3314,0.418115,1.491,26.7373,Inf,Inf,26.6809,Inf,Inf,27.1974,0.422713,1.496,0,Inf,Inf,0,Inf,Inf
12,3,2,12.2892,Inf,Inf,14.7776,Inf,Inf,26.975,0.430508,1.504,22.6286,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
13,3,3,14.8241,Inf,Inf,27.0952,0.426268,1.499,12.3263,Inf,Inf,0,Inf,Inf,24.1907,Inf,Inf,0,Inf,Inf,0,Inf,Inf
14,3,4,26.8306,0.435684,1.509,12.2234,Inf,Inf,14.7304,Inf,Inf,24.0036,Inf,Inf,22.5232,Inf,Inf,0,Inf,Inf,0,Inf,Inf
15,3,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
16,4,1,32.0732,Inf,Inf,32.7226,0.827799,1.901,31.8929,Inf,Inf,31.8513,Inf,Inf,32.5236,0.838433,1.912,0,Inf,Inf,0,Inf,Inf
17,4,2,13.9259,Inf,Inf,18.6504,Inf,Inf,32.2227,0.85489,1.929,26.6842,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
18,4,3,18.5668,Inf,Inf,32.3961,0.845347,1.919,13.9905,Inf,Inf,0,Inf,Inf,29.4026,Inf,Inf,0,Inf,Inf,0,Inf,Inf
19,4,4,32.0731,0.863247,1.938,13.8754,Inf,Inf,18.442,Inf,Inf,29.1184,Inf,Inf,26.4749,Inf,Inf,0,Inf,Inf,0,Inf,Inf
20,4,5,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
