n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,50,1.747637,29.73496,30.39719,103.7427,0.2641588,0.2391195
2,10,100,1.03437,28.909,28.5242,57.909,0.264593,0.2402
3,10,150,1.320638,28.1853,26.90854,40.09939,0.2648539,0.2405872
4,10,200,2.055564,27.54647,25.50653,30.65499,0.2650127,0.2407843
5,10,250,2.815361,26.97888,24.28365,24.80699,0.265118,0.2409036
6,10,300,3.526606,26.47156,23.21215,20.83074,0.2651926,0.2409835
7,10,350,4.179578,26.01565,22.26949,17.95194,0.2652481,0.2410406
8,10,400,4.776771,25.60391,21.43722,15.7715,0.265291,0.2410836
9,10,450,5.323299,25.23037,20.70004,14.06286,0.2653251,0.241117
10,10,500,5.824531,24.89007,20.0452,12.68788,0.2653529,0.2411438
11,10,550,6.285447,24.57887,19.462,11.55755,0.2653759,0.2411657
12,10,600,6.710477,24.29325,18.94136,10.61192,0.2653954,0.2411839
13,10,650,7.103506,24.03026,18.47558,9.809157,0.265412,0.2411994
14,10,700,7.467921,23.78737,18.05805,9.119167,0.2654263,0.2412127
15,10,750,7.806672,23.56239,17.68309,8.519753,0.2654389,0.2412241
16,10,800,8.122331,23.35345,17.3458,7.994186,0.2654499,0.2412342
17,10,850,8.417151,23.15892,17.04194,7.529615,0.2654597,0.2412431
18,10,900,8.693104,22.9774,16.76778,7.11601,0.2654684,0.241251
19,10,950,8.951927,22.80763,16.52011,6.745424,0.2654763,0.241258
20,10,1000,9.195154,22.64854,16.29608,6.411481,0.2654834,0.2412644
21,10,1050,9.4241423,22.499156,16.093207,6.1090045,0.26548981,0.24127013
22,10,1100,9.640098,22.358634,15.909303,5.8337509,0.26549568,0.24127536
23,10,1150,9.8440962,22.226218,15.742429,5.5822057,0.26550106,0.24128013
24,10,1200,10.037098,22.101238,15.59087,5.3514348,0.265506,0.2412845
25,10,1250,10.219964,21.983093,15.453109,5.1389689,0.26551056,0.24128853
26,10,1300,10.393469,21.871243,15.327794,4.9427151,0.26551478,0.24129224
27,10,1350,10.558312,21.765206,15.213724,4.7608879,0.26551869,0.24129568
28,10,1400,10.715121,21.664546,15.109826,4.5919547,0.26552233,0.24129888
29,10,1450,10.864469,21.568868,15.015144,4.4345926,0.26552572,0.24130185
30,10,1500,11.006873,21.477816,14.928819,4.2876535,0.2655289,0.24130463
31,10,1550,11.142806,21.391067,14.850084,4.1501365,0.26553187,0.24130723
32,10,1600,11.272697,21.308325,14.778248,4.0211649,0.26553466,0.24130966
33,10,1650,11.396939,21.229323,14.712693,3.8999672,0.26553729,0.24131195
34,10,1700,11.515893,21.153815,14.652861,3.7858625,0.26553976,0.2413141
35,10,1750,11.629887,21.081577,14.598248,3.6782468,0.2655421,0.24131613
36,10,1800,11.739225,21.012402,14.5484,3.576583,0.26554431,0.24131805
37,10,1850,11.844185,20.946103,14.502908,3.4803915,0.2655464,0.24131986
38,10,1900,11.945026,20.882505,14.4614,3.389243,0.26554838,0.24132158
39,10,1950,12.041984,20.821448,14.42354,3.302752,0.26555026,0.24132321
40,10,2000,12.135279,20.762784,14.389022,3.2205712,0.26555205,0.24132476
41,10,2050,12.225114,20.706376,14.357571,3.142387,0.26555376,0.24132623
42,10,2100,12.311678,20.652098,14.328935,3.0679156,0.26555538,0.24132764
43,10,2150,12.395146,20.599832,14.302883,2.9968994,0.26555693,0.24132897
44,10,2200,12.475681,20.549469,14.279209,2.929104,0.26555841,0.24133025
45,10,2250,12.553435,20.500909,14.25772,2.8643159,0.26555983,0.24133147
46,10,2300,12.628548,20.454056,14.238244,2.80234,0.26556118,0.24133264
47,10,2350,12.701154,20.408824,14.220622,2.7429976,0.26556248,0.24133375
48,10,2400,12.771375,20.36513,14.204709,2.686125,0.26556373,0.24133483
49,10,2450,12.839327,20.322897,14.190372,2.6315716,0.26556492,0.24133585
50,10,2500,12.905118,20.282054,14.177489,2.5791991,0.26556607,0.24133684
51,10,2550,12.96885,20.242533,14.165949,2.5288796,0.26556718,0.24133779
52,10,2600,13.030616,20.204273,14.155648,2.4804953,0.26556824,0.2413387
53,10,2650,13.090508,20.167214,14.146494,2.4339372,0.26556926,0.24133957
54,10,2700,13.148608,20.131301,14.138399,2.3891042,0.26557024,0.24134042
55,10,2750,13.204996,20.096482,14.131284,2.3459027,0.26557119,0.24134123
56,10,2800,13.259747,20.062708,14.125075,2.3042455,0.26557211,0.24134202
57,10,2850,13.31293,20.029932,14.119706,2.2640518,0.26557299,0.24134277
58,10,2900,13.364612,19.998113,14.115113,2.2252462,0.26557385,0.2413435
59,10,2950,13.414856,19.967207,14.111239,2.1877584,0.26557467,0.24134421
60,10,3000,13.46372,19.937178,14.108031,2.1515227,0.26557547,0.24134489
61,10,3050,13.511261,19.907988,14.105441,2.1164778,0.26557624,0.24134555
62,10,3100,13.557532,19.879603,14.103422,2.0825663,0.26557699,0.24134619
63,10,3150,13.602582,19.85199,14.101933,2.0497344,0.26557771,0.24134681
64,10,3200,13.64646,19.825119,14.100936,2.0179317,0.26557842,0.24134741
65,10,3250,13.689211,19.798959,14.100393,1.9871109,0.2655791,0.24134799
66,10,3300,13.730877,19.773484,14.100272,1.9572275,0.26557976,0.24134855
67,10,3350,13.771499,19.748667,14.100541,1.9282397,0.2655804,0.2413491
68,10,3400,13.811116,19.724482,14.101173,1.9001081,0.26558102,0.24134963
69,10,3450,13.849765,19.700907,14.10214,1.8727956,0.26558162,0.24135014
70,10,3500,13.887481,19.677918,14.103419,1.8462672,0.26558221,0.24135064
71,10,3550,13.924297,19.655494,14.104984,1.8204899,0.26558278,0.24135113
72,10,3600,13.960245,19.633614,14.106817,1.7954325,0.26558334,0.2413516
73,10,3650,13.995355,19.61226,14.108895,1.7710656,0.26558388,0.24135206
74,10,3700,14.029656,19.591412,14.111202,1.7473611,0.2655844,0.24135251
75,10,3750,14.063177,19.571052,14.11372,1.7242927,0.26558491,0.24135294
76,10,3800,14.095942,19.551165,14.116432,1.7018354,0.26558541,0.24135337
77,10,3850,14.127978,19.531732,14.119325,1.6799653,0.2655859,0.24135378
78,10,3900,14.159308,19.512741,14.122383,1.6586601,0.26558637,0.24135418
79,10,3950,14.189955,19.494174,14.125595,1.6378983,0.26558683,0.24135458
80,10,4000,14.219943,19.476019,14.128947,1.6176596,0.26558728,0.24135496
81,10,4050,14.249291,19.458262,14.132429,1.5979247,0.26558772,0.24135533
82,10,4100,14.27802,19.44089,14.13603,1.5786751,0.26558815,0.24135569
83,10,4150,14.306149,19.423891,14.139741,1.5598935,0.26558856,0.24135605
84,10,4200,14.333697,19.407252,14.143552,1.541563,0.26558897,0.2413564
85,10,4250,14.360681,19.390963,14.147454,1.523668,0.26558937,0.24135673
86,10,4300,14.387119,19.375013,14.15144,1.5061931,0.26558976,0.24135706
87,10,4350,14.413028,19.359391,14.155502,1.489124,0.26559014,0.24135739
88,10,4400,14.438422,19.344087,14.159633,1.4724468,0.26559051,0.2413577
89,10,4450,14.463318,19.329092,14.163827,1.4561484,0.26559087,0.24135801
90,10,4500,14.487729,19.314397,14.168077,1.4402162,0.26559123,0.24135831
91,10,4550,14.51167,19.299992,14.172378,1.4246381,0.26559158,0.24135861
92,10,4600,14.535154,19.285869,14.176725,1.4094027,0.26559192,0.2413589
