n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,10,29.35992,13.08524,42.0365,268.4598,0.2656945,0.2344199
2,10,15,29.03766,13.09619,41.74134,225.7829,0.2648016,0.2357354
3,10,20,28.72107,13.10691,41.45118,194.1118,0.2643703,0.236674
4,10,25,28.41,13.1174,41.16591,169.8934,0.2641687,0.2373657
5,10,30,28.10434,13.12767,40.8854,150.8692,0.264086,0.2378915
6,10,35,27.80396,13.13773,40.60956,135.5755,0.2640669,0.2383021
7,10,40,27.50874,13.14759,40.33829,123.0369,0.2640821,0.2386302
8,10,45,27.21857,13.15725,40.07147,112.5835,0.2641157,0.2388977
9,10,50,26.93333,13.16672,39.809,103.7427,0.2641588,0.2391195
10,10,55,26.6529,13.176,39.5508,96.1727,0.264206,0.239306
11,10,60,26.3772,13.1851,39.2968,89.6209,0.264255,0.239465
12,10,65,26.1061,13.194,39.0468,83.8967,0.264304,0.239602
13,10,70,25.8396,13.2027,38.8008,78.8538,0.264351,0.239721
14,10,75,25.5774,13.2113,38.5588,74.3784,0.264397,0.239826
15,10,80,25.3196,13.2197,38.3205,70.3804,0.26444,0.239918
16,10,85,25.066,13.228,38.086,66.7877,0.264482,0.24
17,10,90,24.8165,13.236,37.8551,63.542,0.264521,0.240074
18,10,95,24.5711,13.244,37.6279,60.5956,0.264558,0.24014
19,10,100,24.3297,13.2518,37.4041,57.909,0.264593,0.2402
20,10,105,24.09212,13.25942,37.1837,55.44955,0.2646259,0.2402549
21,10,110,23.85836,13.26692,36.96669,53.18967,0.2646571,0.2403047
22,10,115,23.62833,13.27429,36.75296,51.1061,0.2646866,0.2403504
23,10,120,23.40195,13.28152,36.54245,49.17905,0.2647145,0.2403924
24,10,125,23.17915,13.28863,36.33509,47.39157,0.264741,0.2404311
25,10,130,22.95984,13.2956,36.13082,45.72908,0.264766,0.240467
26,10,135,22.74397,13.30245,35.92956,44.17893,0.2647897,0.2405003
27,10,140,22.53146,13.30919,35.73127,42.73013,0.2648122,0.2405313
28,10,145,22.32225,13.3158,35.53588,41.3731,0.2648336,0.2405601
29,10,150,22.11627,13.3223,35.34333,40.09939,0.2648539,0.2405872
30,10,155,21.91346,13.32868,35.15356,38.90157,0.2648733,0.2406125
