n,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
1,10,59.8736,0,59.8736,66.4262,1.64763,1.37768
2,20,57.3405,0,57.3405,61.1589,1.63799,1.38357
3,30,54.9725,0,54.9725,56.534,1.63034,1.38887
4,40,52.7596,0,52.7596,52.4697,1.62426,1.3936
5,50,50.6911,0,50.6911,48.8881,1.61938,1.39779
6,60,48.7568,0,48.7568,45.72,1.61545,1.40151
7,70,46.9465,0,46.9465,42.9055,1.61226,1.40481
8,80,45.2507,0,45.2507,40.3939,1.60964,1.40775
9,90,43.6607,0,43.6607,38.1426,1.60749,1.41038
10,100,42.1682,0,42.1682,36.1157,1.6057,1.41273
11,110,40.76544,0,40.76544,34.28318,1.6042,1.414849
12,120,39.44556,0,39.44556,32.61973,1.602944,1.416761
13,130,38.20211,0,38.20211,31.10402,1.601884,1.418493
14,140,37.02924,0,37.02924,29.71799,1.600984,1.420069
15,150,35.92159,0,35.92159,28.44628,1.600216,1.421508
16,160,34.87429,0,34.87429,27.27577,1.599559,1.422825
17,170,33.88288,0,33.88288,26.1952,1.598994,1.424035
18,180,32.94328,0,32.94328,25.19487,1.598507,1.42515
19,190,32.05179,0,32.05179,24.26639,1.598086,1.42618
20,200,31.205,0,31.205,23.40247,1.597721,1.427133
21,210,30.39981,0,30.39981,22.59676,1.597403,1.428019
22,220,29.63338,0,29.63338,21.84368,1.597126,1.428843
23,230,28.9031,0,28.9031,21.13835,1.596884,1.429612
24,240,28.2066,0,28.2066,20.47644,1.596672,1.430331
25,250,27.54166,0,27.54166,19.85414,1.596487,1.431004
26,260,26.90628,0,26.90628,19.26805,1.596325,1.431636
27,270,26.2986,0,26.2986,18.71516,1.596182,1.43223
28,280,25.71691,0,25.71691,18.19276,1.596057,1.432789
29,290,25.15963,0,25.15963,17.69843,1.595947,1.433316
30,300,24.62531,0,24.62531,17.23002,1.595851,1.433815
31,310,24.1126,0,24.1126,16.78555,1.595766,1.434286
32,320,23.62024,0,23.62024,16.36326,1.595692,1.434733
33,330,23.14709,0,23.14709,15.96156,1.595627,1.435157
34,340,22.69207,0,22.69207,15.57899,1.59557,1.435559
35,350,22.25419,0,22.25419,15.21424,1.59552,1.435942
36,360,21.83251,0,21.83251,14.86611,1.595477,1.436306
37,370,21.42618,0,21.42618,14.5335,1.59544,1.436654
38,380,21.03438,0,21.03438,14.2154,1.595408,1.436985
39,390,20.65638,0,20.65638,13.9109,1.59538,1.437302
40,400,20.29147,0,20.29147,13.61916,1.595356,1.437605
41,410,19.93899,0,19.93899,13.3394,1.595336,1.437895
42,420,19.59833,0,19.59833,13.0709,1.59532,1.438172
43,430,19.26892,0,19.26892,12.81301,1.595306,1.438438
44,440,18.95021,0,18.95021,12.56511,1.595295,1.438694
45,450,18.64171,0,18.64171,12.32665,1.595286,1.438939
46,460,18.34294,0,18.34294,12.0971,1.59528,1.439175
47,470,18.05345,0,18.05345,11.87598,1.595275,1.439402
48,480,17.77283,0,17.77283,11.66284,1.595272,1.43962
49,490,17.50067,0,17.50067,11.45725,1.595271,1.43983
50,500,17.23661,0,17.23661,11.25883,1.595271,1.440032
51,510,16.9803,0,16.9803,11.06722,1.595273,1.440228
52,520,16.7314,0,16.7314,10.88207,1.595275,1.440416
53,530,16.4896,0,16.4896,10.70306,1.595279,1.440598
54,540,16.25461,0,16.25461,10.52991,1.595283,1.440774
55,550,16.02614,0,16.02614,10.36233,1.595288,1.440944
56,560,15.80393,0,15.80393,10.20005,1.595294,1.441109
57,570,15.58774,0,15.58774,10.04284,1.595301,1.441268
58,580,15.37731,0,15.37731,9.890469,1.595308,1.441422
59,590,15.17243,0,15.17243,9.742712,1.595316,1.441571
60,600,14.97289,0,14.97289,9.599369,1.595324,1.441716
61,610,14.77847,0,14.77847,9.460248,1.595333,1.441856
62,620,14.58898,0,14.58898,9.325167,1.595342,1.441992
63,630,14.40425,0,14.40425,9.193955,1.595352,1.442124
64,640,14.2241,0,14.2241,9.066451,1.595361,1.442252
65,650,14.04836,0,14.04836,8.942503,1.595371,1.442377
66,660,13.87686,0,13.87686,8.821966,1.595381,1.442498
67,670,13.70947,0,13.70947,8.704702,1.595392,1.442616
68,680,13.54604,0,13.54604,8.590584,1.595402,1.44273
69,690,13.38643,0,13.38643,8.479486,1.595413,1.442842
70,700,13.2305,0,13.2305,8.371295,1.595424,1.44295
71,710,13.07813,0,13.07813,8.265898,1.595435,1.443055
72,720,12.92921,0,12.92921,8.16319,1.595446,1.443158
73,730,12.78362,0,12.78362,8.063072,1.595457,1.443258
74,740,12.64125,0,12.64125,7.965448,1.595468,1.443356
75,750,12.50199,0,12.50199,7.870229,1.595479,1.443451
76,760,12.36574,0,12.36574,7.777328,1.595491,1.443544
77,770,12.23241,0,12.23241,7.686662,1.595502,1.443634
78,780,12.10191,0,12.10191,7.598155,1.595513,1.443723
79,790,11.97414,0,11.97414,7.51173,1.595524,1.443809
80,800,11.84903,0,11.84903,7.427317,1.595536,1.443893
